Vehicle_ID,Year,Make,Model,Trim,Miles,Sale Price,Status,Mode of Purchase,Zip Code
1,2013,Chrysler,Town & Country,sport,33784,19925,Used,Individual Seller,51810
2,2000,Subaru,WRX,N/A,23563,25324,Used,Individual Seller,90358
3,2015,Acura,TL,base,90557,9869,Used,Individual Seller,60761
4,2008,Dodge,Charger,base,59310,16629,Used,Dealership,81260
5,1995,Mercedes,GLA,N/A,39280,26547,Used,Individual Seller,59718
6,2018,Mazda,CX-50,sport,23237,23414,Certified,Dealership,76013
7,2006,Volkswagen,Passat,sport,130391,8736,Used,Dealership,51298
8,2016,Volkswagen,Golf,base,98650,5657,Used,Dealership,98643
9,2012,BMW,5 Series,base,38187,13661,Used,Dealership,53560
10,2021,Lexus,GS350,sport,22413,20733,Certified,Dealership,95741
11,2007,Dodge,Charger,base,76807,19694,Used,Dealership,99999
12,2000,Kia,Forte,N/A,48290,16349,Used,Individual Seller,17842
13,2010,Mazda,CX-5,base,41987,10003,Used,Dealership,80280
14,2009,Lincoln,Navigator,sport,91559,10061,Used,Dealership,89961
15,2012,Audi,A3,sport,131573,16556,Used,Individual Seller,91458
16,2010,Toyota,Highlander,base,22214,31299,Used,Individual Seller,73906
17,1996,Mercedes,GLE,N/A,33961,20359,Used,Individual Seller,52520
18,2009,Volkswagen,Atlas,sport,32388,25065,Used,Individual Seller,81684
19,2003,Lincoln,Navigator,N/A,77265,15362,Used,Individual Seller,21446
20,2015,Toyota,Land Cruiser,sport,38992,27429,Used,Dealership,18436
21,1998,Lexus,RX,N/A,118477,9986,Used,Dealership,84728
22,1997,Acura,Integra,N/A,93825,14026,Used,Individual Seller,45700
23,2000,Lexus,GS,N/A,40407,20825,Used,Dealership,46430
24,1995,Lexus,LS,N/A,34544,27288,Used,Dealership,66044
25,2017,Toyota,Avalon,sport,25387,15998,Used,Individual Seller,60357
26,2009,Hyundai,Santa Fe,base,34331,24679,Used,Individual Seller,42156
27,2016,Hyundai,Elantra,base,17806,21440,Used,Individual Seller,57846
28,2012,Acura,TL,base,121204,16573,Used,Individual Seller,70617
29,2001,Volkswagen,Tiguan,N/A,46184,27966,Used,Dealership,35981
30,2023,Volvo,S60,base,79,23678,New,Dealership,90243
31,2007,Volvo,S60,base,116239,16105,Used,Individual Seller,78679
32,1996,Acura,TL,N/A,146175,10059,Used,Dealership,65710
33,1997,Mercedes,S-Class,N/A,89519,6608,Used,Dealership,16681
34,2005,Lexus,RX,N/A,90942,10998,Used,Individual Seller,38874
35,2012,Acura,TL,sport,27266,32029,Used,Individual Seller,43683
36,2006,Chevrolet,Tahoe,base,132868,6499,Used,Individual Seller,45361
37,2023,Volkswagen,Atlas,sport,31,39244,New,Dealership,20216
38,2014,Lincoln,Navigator,luxury,41787,17620,Used,Dealership,82219
39,1996,BMW,X5,N/A,108333,7019,Used,Dealership,61457
40,2019,Audi,A4,sport,9546,20025,Certified,Dealership,46364
41,2017,Chevrolet,Malibu,sport,122694,6501,Used,Individual Seller,27557
42,2013,Volkswagen,Atlas,base,122269,13913,Used,Individual Seller,51170
43,2010,Lexus,GS,luxury,108112,16825,Used,Individual Seller,75471
44,2018,Kia,Sportage,sport,7438,16912,Certified,Dealership,29892
45,2009,Subaru,Forester,sport,28214,28627,Used,Dealership,92113
46,1995,Kia,K5,N/A,146986,6040,Used,Dealership,13852
47,2020,Volvo,S60,base,12407,24127,Certified,Dealership,47865
