Vehicle_ID,Year,Make,Model,Trim,Miles,Sale Price,Status,Mode of Purchase,Zip Code
1,2003,Buick,Regal,N/A,23705,23056,Used,Dealership,85138
2,2014,GMC,Sierra,base,42867,20168,Used,Individual Seller,70595
3,2004,Hyundai,Tucson,N/A,86306,10183,Used,Dealership,39891
4,1996,Chevrolet,Silverado,N/A,145021,15007,Used,Individual Seller,37000
5,2017,Chevrolet,Tahoe,luxury,48719,19142,Used,Individual Seller,35705
6,2002,Kia,Sorento,N/A,144740,11802,Used,Individual Seller,85000
7,2008,Chevrolet,Malibu,sport,10737,11522,Used,Individual Seller,11662
8,2017,Chrysler,300,luxury,43926,19336,Used,Dealership,42053
9,2018,Lexus,RX,luxury,7550,22207,Certified,Dealership,48169
10,1997,Acura,TL,N/A,97281,6507,Used,Dealership,80876
11,2019,Chevrolet,Suburban,sport,15035,34657,Certified,Dealership,84597
12,2009,Dodge,Ram 1500,base,61662,9582,Used,Individual Seller,84156
13,2009,BMW,X3,base,56089,34946,Used,Dealership,68027
14,2009,Jeep,Wrangler,base,70706,16559,Used,Dealership,83482
15,2001,Jeep,Grand Cherokee,N/A,38992,14276,Used,Individual Seller,26766
16,2001,Lexus,RX,N/A,106728,6902,Used,Individual Seller,52513
17,2009,GMC,Yukon,base,127353,6374,Used,Dealership,58184
18,2016,Chevrolet,Silverado,sport,21769,39866,Used,Dealership,64875
19,2015,Chevrolet,Malibu,sport,53134,23049,Used,Dealership,30712
20,2008,Chrysler,Town & Country,base,54597,20792,Used,Dealership,10081
21,2017,Dodge,Grand Caravan,sport,112376,16985,Used,Individual Seller,82515
22,1998,Subaru,Outback,N/A,125081,8001,Used,Dealership,77671
23,2022,Volkswagen,Atlas,base,95,30440,New,Dealership,55777
24,2022,Honda,Pilot,base,12,30106,New,Dealership,37294
25,1997,Chrysler,300,N/A,109493,8503,Used,Dealership,76168
26,2006,Kia,Sportage,sport,112849,5617,Used,Dealership,29320
27,2005,Hyundai,Santa Fe,N/A,32397,10612,Used,Dealership,46117
28,2018,Mazda,3,sport,21610,14513,Certified,Dealership,56635
29,2019,Ford,Mustang,base,24064,21789,Certified,Dealership,27798
30,2000,Buick,LaCrosse,N/A,53023,13812,Used,Dealership,83835
31,2016,Subaru,WRX,base,36781,14822,Used,Individual Seller,23682
32,2021,Acura,Integra,luxury,25948,15412,Certified,Dealership,71786
33,2013,Lincoln,Navigator,base,64950,26454,Used,Individual Seller,42304
34,2014,Audi,Q5,base,147698,17482,Used,Individual Seller,43775
35,1999,Nissan,Altima,N/A,46965,25054,Used,Dealership,58185
36,2002,Toyota,Highlander,N/A,126299,12113,Used,Dealership,70026
37,2015,Buick,LaCrosse,base,10922,31524,Used,Dealership,90075
38,2005,BMW,3 Series,N/A,93230,17147,Used,Dealership,79479
39,2003,Subaru,Forester,N/A,145467,6413,Used,Individual Seller,47238
40,2010,Lincoln,Navigator,sport,90187,13487,Used,Individual Seller,53156
41,2006,Audi,A4,sport,134511,13485,Used,Individual Seller,12847
42,1998,Chrysler,300,N/A,137857,16256,Used,Dealership,53863
43,2020,Lincoln,Navigator,sport,12553,29666,Certified,Dealership,66247
44,2004,Audi,A3,N/A,55132,18930,Used,Dealership,86589
45,2015,Kia,K5,base,122593,18810,Used,Dealership,11847
46,2020,Hyundai,Sonata,base,16066,20093,Certified,Dealership,43669
47,2019,Mazda,CX-50,sport,12604,16455,Certified,Dealership,94644
48,2002,Jeep,Wrangler,N/A,92416,11731,Used,Dealership,41009
49,2006,Volvo,S60,luxury,128571,10972,Used,Dealership,78331
50,2000,Hyundai,Sonata,N/A,84716,10959,Used,Individual Seller,88221
51,2001,Nissan,Rogue,N/A,126948,18511,Used,Dealership,80330
52,2017,Chevrolet,Equinox,base,73380,21349,Used,Individual Seller,39032
53,1998,Ford,Explorer,N/A,82679,13391,Used,Individual Seller,65186
