Vehicle_ID,Year,Make,Model,Trim,Miles,Sold For,Status,Sold By,Zip Code Sold
1,2004,Mazda,CX-90,N/A,59934,23172,Used,Individual Seller,16584
2,2003,BMW,5 Series,N/A,23492,36793,Used,Dealership,39281
3,2020,Hyundai,Sonata,luxury,23736,17297,Certified,Dealership,33003
4,2009,Acura,TL,sport,135801,9597,Used,Dealership,71334
5,2007,Nissan,Maxima,base,131096,14410,Used,Dealership,55250
6,2013,GMC,Envoy,base,43971,24760,Used,Individual Seller,57174
7,2007,Chevrolet,Tahoe,base,102359,7342,Used,Individual Seller,17357
8,2014,Audi,A6,luxury,14988,33962,Used,Individual Seller,28069
9,2014,Mercedes,GLE,sport,55662,12458,Used,Dealership,79330
10,2002,Kia,Forte,N/A,15965,24614,Used,Dealership,62352
11,2005,Jeep,Wrangler,N/A,138962,9163,Used,Dealership,30113
12,2021,Dodge,Durango,base,19050,24956,Certified,Dealership,45276
13,2009,Mazda,3,sport,28937,37108,Used,Dealership,12272
14,1999,Lexus,ES300,N/A,110021,17845,Used,Dealership,14916
15,2014,Ford,Taurus,sport,71784,15421,Used,Dealership,96609
16,2013,Volvo,S70,base,98621,7859,Used,Individual Seller,58144
17,2012,Chevrolet,Suburban,sport,124922,19751,Used,Dealership,88668
18,2018,Mercedes,C-Class,sport,25949,24166,Certified,Dealership,28441
19,2013,Volkswagen,Passat,sport,95662,12463,Used,Dealership,14617
20,2016,Honda,HR-V,luxury,57195,33909,Used,Dealership,98664
21,2007,Jeep,Grand Cherokee,sport,35372,21658,Used,Dealership,17885
22,2015,Buick,Regal,base,127840,9243,Used,Dealership,11127
23,2001,Volvo,XC90,N/A,111907,12073,Used,Individual Seller,79024
24,1998,Chevrolet,Equinox,N/A,27670,28134,Used,Dealership,21352
25,2019,Volvo,XC90,sport,23277,24529,Certified,Dealership,27976
26,2002,Ford,Focus,N/A,118530,8686,Used,Individual Seller,98213
27,2012,Chrysler,300,sport,10555,22638,Used,Dealership,29333
28,2014,Dodge,Charger,base,116145,14412,Used,Dealership,22833
29,2018,Jeep,Grand Cherokee,base,13748,26958,Certified,Dealership,70926
30,2012,Subaru,Forester,base,95578,19427,Used,Dealership,22201
31,2018,Volvo,S70,base,20048,20102,Certified,Dealership,77139
32,1998,Kia,Sportage,N/A,131771,11132,Used,Dealership,67347
33,2003,Kia,Forte,N/A,36312,10826,Used,Dealership,41695
34,2001,Volvo,S70,N/A,75912,7262,Used,Dealership,60982
35,2008,GMC,Sierra,base,92810,8597,Used,Dealership,19860
36,2023,Toyota,RAV4,luxury,76,21431,New,Dealership,95066
37,2016,Dodge,Durango,base,68082,28900,Used,Dealership,39487
38,2013,Volvo,XC90,sport,68937,17791,Used,Individual Seller,88606
39,2007,Audi,A3,sport,105072,8898,Used,Individual Seller,87350
40,2009,Jeep,Grand Cherokee,luxury,114906,6784,Used,Dealership,33768
41,2016,BMW,X5,base,59423,13619,Used,Individual Seller,36807
42,2021,Buick,Regal,sport,34358,18444,Certified,Dealership,85605
43,2017,Mazda,CX-90,sport,87742,7016,Used,Dealership,48112
44,1998,BMW,3 Series,N/A,116546,8773,Used,Individual Seller,29663
45,2015,Lincoln,Navigator,sport,85557,19643,Used,Dealership,93801
46,1996,Hyundai,Santa Fe,N/A,132044,16248,Used,Individual Seller,57083
47,2013,Chevrolet,Equinox,sport,144760,8670,Used,Dealership,18846
48,2016,Nissan,Maxima,base,74354,34555,Used,Dealership,50627
49,2000,Kia,Sportage,N/A,10022,20935,Used,Dealership,16994
50,2006,Honda,HR-V,base,116868,5558,Used,Dealership,75838
51,2010,Honda,Pilot,base,66783,30463,Used,Dealership,59821
52,1999,Jeep,Grand Cherokee,N/A,91653,14813,Used,Dealership,36930
53,2016,Lincoln,Navigator,base,139219,5262,Used,Individual Seller,63779
54,2020,Chevrolet,Silverado,base,11159,31334,Certified,Dealership,91546
55,2004,Jeep,Wrangler,N/A,48603,33069,Used,Dealership,40142
56,2016,Dodge,Charger,base,68512,13001,Used,Dealership,82454
57,2021,Dodge,Charger,luxury,5058,21770,Certified,Dealership,56226
58,1999,Acura,Integra,N/A,24066,26094,Used,Dealership,67090
59,1999,Acura,Integra,N/A,91416,16432,Used,Dealership,74162
60,1998,Mazda,3,N/A,140172,12663,Used,Dealership,85457
61,1995,Volvo,S60,N/A,99307,14988,Used,Dealership,54328
62,1998,Hyundai,Elantra,N/A,45231,14880,Used,Dealership,70324
63,2021,Hyundai,Santa Fe,base,25388,13413,Certified,Dealership,56501
64,1999,Acura,Integra,N/A,26280,14791,Used,Individual Seller,81946
65,2016,GMC,Sierra,base,99352,16320,Used,Individual Seller,14501
66,2014,Audi,A3,base,102695,16434,Used,Dealership,90610
67,2023,Kia,K5,sport,67,37362,New,Dealership,49134
68,2003,BMW,X3,N/A,70037,11553,Used,Dealership,56110
69,2021,Hyundai,Sonata,sport,13586,15061,Certified,Dealership,75845
70,2023,BMW,X3,luxury,15,37339,New,Dealership,59022
71,2003,Chrysler,Town & Country,N/A,59447,20833,Used,Individual Seller,36762
72,2004,Lexus,GS350,N/A,14885,9690,Used,Individual Seller,76970
73,2004,Toyota,Camry,N/A,74707,19930,Used,Dealership,36831
74,1995,Ford,Mustang,N/A,43379,14554,Used,Dealership,42445
75,2000,Lincoln,Navigator,N/A,40169,21953,Used,Individual Seller,68075
76,2003,Buick,Regal,N/A,56053,29026,Used,Dealership,92469
77,2000,GMC,Yukon,N/A,51252,28939,Used,Dealership,13931
78,1999,Volvo,S60,N/A,11640,11653,Used,Individual Seller,48421
79,2015,Mazda,MX5,base,50390,27043,Used,Individual Seller,71807
