Vehicle_ID,Year,Make,Model,Trim,Miles,Sale Price,Status,Mode of Purchase,Zip Code,Recently Sold For
1,2003,Buick,Regal,N/A,23705,23056,Used,Dealership,85138,13301
2,2014,GMC,Sierra,base,42867,20168,Used,Individual Seller,70595,13440
3,2004,Hyundai,Tucson,N/A,86306,10183,Used,Dealership,39891,31864
4,1996,Chevrolet,Silverado,N/A,145021,15007,Used,Individual Seller,37000,25595
5,2017,Chevrolet,Tahoe,luxury,48719,19142,Used,Individual Seller,35705,21002
6,2002,Kia,Sorento,N/A,144740,11802,Used,Individual Seller,85000,23071
7,2008,Chevrolet,Malibu,sport,10737,11522,Used,Individual Seller,11662,9405
8,2017,Chrysler,300,luxury,43926,19336,Used,Dealership,42053,6240
9,2018,Lexus,RX,luxury,7550,22207,Certified,Dealership,48169,
10,1997,Acura,TL,N/A,97281,6507,Used,Dealership,80876,30120
11,2019,Chevrolet,Suburban,sport,15035,34657,Certified,Dealership,84597,32964
12,2009,Dodge,Ram 1500,base,61662,9582,Used,Individual Seller,84156,6795
13,2009,BMW,X3,base,56089,34946,Used,Dealership,68027,32265
14,2009,Jeep,Wrangler,base,70706,16559,Used,Dealership,83482,15510
15,2001,Jeep,Grand Cherokee,N/A,38992,14276,Used,Individual Seller,26766,26119
16,2001,Lexus,RX,N/A,106728,6902,Used,Individual Seller,52513,14265
17,2009,GMC,Yukon,base,127353,6374,Used,Dealership,58184,14927
18,2016,Chevrolet,Silverado,sport,21769,39866,Used,Dealership,64875,8421
19,2015,Chevrolet,Malibu,sport,53134,23049,Used,Dealership,30712,10354
20,2008,Chrysler,Town & Country,base,54597,20792,Used,Dealership,10081,24125
21,2017,Dodge,Grand Caravan,sport,112376,16985,Used,Individual Seller,82515,10705
22,1998,Subaru,Outback,N/A,125081,8001,Used,Dealership,77671,12065
23,2022,Volkswagen,Atlas,base,95,30440,New,Dealership,55777,25251
24,2022,Honda,Pilot,base,12,30106,New,Dealership,37294,49820
25,1997,Chrysler,300,N/A,109493,8503,Used,Dealership,76168,29111
26,2006,Kia,Sportage,sport,112849,5617,Used,Dealership,29320,33693
27,2005,Hyundai,Santa Fe,N/A,32397,10612,Used,Dealership,46117,7334
28,2018,Mazda,3,sport,21610,14513,Certified,Dealership,56635,10946
29,2019,Ford,Mustang,base,24064,21789,Certified,Dealership,27798,11795
30,2000,Buick,LaCrosse,N/A,53023,13812,Used,Dealership,83835,13840
31,2016,Subaru,WRX,base,36781,14822,Used,Individual Seller,23682,5925
32,2021,Acura,Integra,luxury,25948,15412,Certified,Dealership,71786,22948
33,2013,Lincoln,Navigator,base,64950,26454,Used,Individual Seller,42304,12602
34,2014,Audi,Q5,base,147698,17482,Used,Individual Seller,43775,5006
35,1999,Nissan,Altima,N/A,46965,25054,Used,Dealership,58185,10580
36,2002,Toyota,Highlander,N/A,126299,12113,Used,Dealership,70026,18522
37,2015,Buick,LaCrosse,base,10922,31524,Used,Dealership,90075,15647
38,2005,BMW,3 Series,N/A,93230,17147,Used,Dealership,79479,16624
39,2003,Subaru,Forester,N/A,145467,6413,Used,Individual Seller,47238,19583
40,2010,Lincoln,Navigator,sport,90187,13487,Used,Individual Seller,53156,12494
41,2006,Audi,A4,sport,134511,13485,Used,Individual Seller,12847,6940
42,1998,Chrysler,300,N/A,137857,16256,Used,Dealership,53863,18972
43,2020,Lincoln,Navigator,sport,12553,29666,Certified,Dealership,66247,11279
44,2004,Audi,A3,N/A,55132,18930,Used,Dealership,86589,12289
45,2015,Kia,K5,base,122593,18810,Used,Dealership,11847,10190
46,2020,Hyundai,Sonata,base,16066,20093,Certified,Dealership,43669,16109
47,2019,Mazda,CX-50,sport,12604,16455,Certified,Dealership,94644,24479
48,2002,Jeep,Wrangler,N/A,92416,11731,Used,Dealership,41009,21495
49,2006,Volvo,S60,luxury,128571,10972,Used,Dealership,78331,14655
50,2000,Hyundai,Sonata,N/A,84716,10959,Used,Individual Seller,88221,16872
51,2001,Nissan,Rogue,N/A,126948,18511,Used,Dealership,80330,8959
52,2017,Chevrolet,Equinox,base,73380,21349,Used,Individual Seller,39032,20815
53,1998,Ford,Explorer,N/A,82679,13391,Used,Individual Seller,65186,14418
54,2020,Dodge,Charger,luxury,13922,27948,Certified,Dealership,51030,33337
55,2016,Dodge,Charger,base,123250,6703,Used,Dealership,99014,15605
56,2005,Chevrolet,Equinox,N/A,98591,8575,Used,Dealership,64504,21122
57,2022,Volvo,S60,base,73,29394,New,Dealership,27304,49080
58,2001,Lincoln,Navigator,N/A,36275,20762,Used,Individual Seller,26654,22814
59,2017,Lincoln,Navigator,sport,94564,17409,Used,Individual Seller,18355,14947
60,1995,Volvo,S70,N/A,32222,31567,Used,Dealership,59503,11760
61,2006,Kia,Sorento,base,11149,28317,Used,Dealership,37272,12279
62,2012,Acura,TL,base,121845,18842,Used,Dealership,96682,13161
63,2022,Lexus,ES,sport,75,34782,New,Dealership,54210,32585
64,2006,Toyota,4Runner,sport,82771,18047,Used,Dealership,59820,10881
65,2007,Jeep,Grand Cherokee,sport,59993,22394,Used,Dealership,28810,26880
66,2002,Subaru,Forester,N/A,39813,31031,Used,Dealership,71843,9254
67,2002,Ford,Explorer,N/A,117610,11953,Used,Individual Seller,93175,
68,2019,Lincoln,Navigator,base,18645,30583,Certified,Dealership,90708,26529
69,2018,Hyundai,Sonata,base,12152,24099,Certified,Dealership,96182,32237
70,2021,Hyundai,Tucson,luxury,23913,10115,Certified,Dealership,98158,17033
71,2018,Chrysler,Town & Country,base,23117,13444,Certified,Dealership,62113,20540
72,2004,GMC,Envoy,N/A,96569,5593,Used,Dealership,50945,5841
73,2018,Kia,Sorento,base,16058,17238,Certified,Dealership,80264,24836
74,2015,GMC,Envoy,base,134546,12594,Used,Dealership,72442,5406
75,2014,Dodge,Grand Caravan,sport,85683,5215,Used,Dealership,46161,7853
76,2014,Mazda,CX-90,luxury,139118,10644,Used,Individual Seller,40283,15089
77,2020,Lincoln,Navigator,base,14119,27875,Certified,Dealership,37316,11279
78,2012,Buick,LaCrosse,sport,111095,15917,Used,Dealership,24980,27265
79,2015,Acura,Integra,base,18168,18381,Used,Individual Seller,86792,33293
80,2014,Subaru,Forester,luxury,71867,10704,Used,Individual Seller,55069,23387
81,2010,Acura,Integra,base,34698,24077,Used,Individual Seller,22335,10393
82,2006,Jeep,Grand Cherokee,sport,40404,15023,Used,Dealership,50128,16622
83,2020,Hyundai,Santa Fe,luxury,28041,23946,Certified,Dealership,10639,13767
84,1997,Ford,Ranger,N/A,121962,16117,Used,Dealership,38436,13563
85,1999,Jeep,Wrangler,N/A,27077,38643,Used,Dealership,44002,7772
86,2012,Toyota,Avalon,sport,57475,13461,Used,Dealership,17246,8621
87,2010,Lexus,RX,base,41256,27744,Used,Dealership,21534,9270
88,2017,Mercedes,S-Class,base,39211,24681,Used,Individual Seller,37067,8533
89,1995,Toyota,4Runner,N/A,40461,11359,Used,Individual Seller,67414,11574
90,2016,Volkswagen,Golf,luxury,78198,13620,Used,Dealership,11878,11595
91,2020,BMW,3 Series,sport,18031,22736,Certified,Dealership,60626,23556
92,2012,Toyota,Land Cruiser,luxury,17287,12716,Used,Dealership,20135,35172
93,2000,Volvo,S60,N/A,60569,12021,Used,Dealership,57943,13198
94,2002,Chrysler,300,N/A,83486,10005,Used,Dealership,70675,8343
95,2012,Ford,Fiesta,sport,26458,38731,Used,Dealership,35870,28150
96,2015,Dodge,Ram 1500,base,44388,10939,Used,Individual Seller,21434,9627
97,1998,Lincoln,Navigator,N/A,51508,29521,Used,Dealership,62968,34579
98,2019,Toyota,4Runner,sport,24629,21225,Certified,Dealership,61428,16295
99,2011,Dodge,Charger,base,66783,20922,Used,Individual Seller,79574,7437
100,2003,Dodge,Ram 1500,N/A,33768,25912,Used,Dealership,86663,
101,2007,Acura,Integra,base,82272,14721,Used,Individual Seller,32492,10364
102,2016,Chrysler,Town & Country,sport,34281,25740,Used,Dealership,43898,5612
103,2021,Chrysler,300,sport,27399,11017,Certified,Dealership,99787,25226
104,1997,Volvo,XC90,N/A,72726,15587,Used,Dealership,39011,15020
105,2009,Buick,LaCrosse,base,12649,18306,Used,Individual Seller,72692,25453
106,1998,Volvo,S70,N/A,36065,30875,Used,Dealership,35914,6977
107,2001,Ford,Explorer,N/A,86086,5738,Used,Dealership,95876,
108,2015,Mercedes,S-Class,base,82924,16587,Used,Individual Seller,75566,6981
109,1999,Volkswagen,Golf,N/A,31846,16396,Used,Dealership,81057,16401
110,2021,Hyundai,Elantra,base,9232,24868,Certified,Dealership,89822,15036
111,2012,Lexus,LS,base,19846,17657,Used,Individual Seller,80110,15627
112,2015,Chevrolet,Suburban,base,37277,8925,Used,Individual Seller,29854,26310
113,2003,Volvo,S60,N/A,129870,11524,Used,Individual Seller,46812,8274
114,2019,Jeep,Grand Cherokee,base,18131,26185,Certified,Dealership,34373,33009
115,2021,GMC,Yukon,sport,19180,24671,Certified,Dealership,60472,25334
116,1995,Lexus,GS350,N/A,56109,12628,Used,Dealership,62260,34139
117,2020,Buick,Regal,sport,30006,15353,Certified,Dealership,67521,17001
118,2010,Acura,TL,base,23382,9710,Used,Individual Seller,48274,34767
119,2016,Toyota,RAV4,sport,19477,13914,Used,Individual Seller,28748,28880
120,1999,Nissan,Maxima,N/A,118868,14908,Used,Dealership,67526,7734
121,1998,Lincoln,Navigator,N/A,28897,17804,Used,Dealership,21702,34579
122,2007,Acura,TL,base,96153,8533,Used,Dealership,79745,16730
123,2002,Lexus,GS350,N/A,142301,9093,Used,Dealership,46524,32837
124,2016,Kia,Rio,base,10290,12039,Used,Individual Seller,43088,5110
125,2020,Audi,Q5,base,26394,10585,Certified,Dealership,13411,27416
126,2022,BMW,5 Series,luxury,60,33792,New,Dealership,15232,41446
127,2000,Chevrolet,Suburban,N/A,109416,8543,Used,Individual Seller,69120,22005
128,2019,Kia,Forte,sport,34328,10773,Certified,Dealership,64333,23817
129,2019,Dodge,Durango,sport,14522,34422,Certified,Dealership,54211,17450
130,2014,Mazda,MX5,luxury,30000,31420,Used,Dealership,90650,6425
131,2005,Chrysler,Town & Country,N/A,112349,19741,Used,Dealership,50844,9047
132,2002,BMW,5 Series,N/A,83239,18150,Used,Dealership,85233,26330
133,2014,Nissan,Rogue,base,102063,12940,Used,Dealership,54071,12081
134,2014,Kia,Sorento,luxury,108864,7410,Used,Individual Seller,58229,13614
135,2020,Lincoln,Navigator,sport,32111,18574,Certified,Dealership,10691,11279
136,2010,Kia,Sorento,base,35284,9753,Used,Individual Seller,87297,18042
137,2004,Jeep,Grand Cherokee,N/A,62636,17204,Used,Dealership,44083,24652
138,2021,Mercedes,C-Class,sport,5710,26583,Certified,Dealership,86513,26763
139,2001,Hyundai,Tucson,N/A,38409,31131,Used,Dealership,11258,17542
140,2010,Dodge,Charger,luxury,107596,9706,Used,Individual Seller,81818,10447
141,2001,Kia,Sorento,N/A,106914,6292,Used,Individual Seller,36987,16317
142,2008,Kia,Sorento,base,117581,7185,Used,Dealership,59445,16472
143,1998,Kia,Forte,N/A,93305,15692,Used,Individual Seller,24305,37059
144,2001,GMC,Envoy,N/A,24605,36420,Used,Dealership,18975,12517
145,2003,Ford,Taurus,N/A,68994,12039,Used,Individual Seller,12427,12558
146,2014,Mercedes,GLE,sport,60528,27863,Used,Dealership,97191,11081
147,2017,Acura,TL,base,13102,27927,Used,Dealership,41158,19466
148,1996,Volvo,XC90,N/A,15362,22676,Used,Individual Seller,29752,13027
149,2001,Chevrolet,Impala,N/A,130667,5747,Used,Dealership,31224,
150,2006,Lincoln,Navigator,sport,42462,22442,Used,Dealership,66478,9041
151,1999,Buick,Regal,N/A,52853,21902,Used,Individual Seller,21193,9134
152,2012,Buick,LaCrosse,base,25061,23740,Used,Individual Seller,18420,27265
153,2018,Volvo,XC90,sport,32187,18461,Certified,Dealership,62311,33190
154,2001,Jeep,Grand Cherokee,N/A,54029,15652,Used,Dealership,91430,26119
155,1996,Volvo,S60,N/A,67800,21484,Used,Dealership,15368,15358
156,2003,Honda,Pilot,N/A,121305,14269,Used,Dealership,67709,7787
157,2001,Mazda,MX5,N/A,133880,5126,Used,Dealership,94628,9190
158,2000,Buick,LaCrosse,N/A,52104,15805,Used,Individual Seller,43918,13840
159,2022,Mazda,CX-5,base,81,36326,New,Dealership,67691,30388
160,2016,Lexus,GS,base,137033,16905,Used,Dealership,22425,6219
161,2014,Nissan,Rogue,base,87608,5686,Used,Dealership,96765,12081
162,1998,Dodge,Grand Caravan,N/A,49640,19355,Used,Dealership,40127,9193
163,2003,Lincoln,Navigator,N/A,13367,24603,Used,Individual Seller,13614,19070
164,2005,BMW,X3,N/A,133547,14067,Used,Dealership,80594,16644
165,1996,Kia,K5,N/A,138259,7034,Used,Individual Seller,86042,16138
166,2021,Toyota,Camry,base,32948,14649,Certified,Dealership,26020,21442
167,1998,Lexus,GS,N/A,44948,22600,Used,Dealership,20421,14048
168,1995,Audi,Q5,N/A,138582,10801,Used,Individual Seller,25110,11337
169,2002,Dodge,Grand Caravan,N/A,44592,25465,Used,Individual Seller,28421,14072
170,2016,Volkswagen,Jetta,luxury,21486,7905,Used,Individual Seller,70243,9912
171,2022,Lincoln,Navigator,base,65,47282,New,Dealership,35906,40465
172,2021,Dodge,Ram 1500,sport,31230,13623,Certified,Dealership,29285,13124
173,2018,Buick,LaCrosse,base,7751,16718,Certified,Dealership,71447,15920
174,2008,Buick,LaCrosse,base,81492,8377,Used,Dealership,53142,18853
175,2009,GMC,Yukon,sport,20262,27125,Used,Individual Seller,44245,14927
176,2012,Subaru,WRX,sport,61562,15260,Used,Dealership,80802,29394
177,2003,Nissan,Murano,N/A,52760,25004,Used,Dealership,63888,39556
178,2010,Volkswagen,Atlas,base,28066,35998,Used,Dealership,51245,23617
179,1999,Volvo,XC90,N/A,129605,6307,Used,Individual Seller,27222,12170
180,2021,Honda,CR-V,base,9735,15002,Certified,Dealership,53114,30104
181,2005,Dodge,Charger,N/A,35776,13882,Used,Individual Seller,14120,33775
182,2018,Jeep,Grand Cherokee,sport,5871,33772,Certified,Dealership,27004,15885
183,2010,Toyota,4Runner,sport,137893,14533,Used,Dealership,34984,24759
184,2000,GMC,Yukon,N/A,55049,22956,Used,Individual Seller,57511,28690
185,2009,Lexus,ES,base,17061,15308,Used,Individual Seller,63209,
186,2018,Hyundai,Sonata,base,6617,24191,Certified,Dealership,17922,32237
187,1995,Toyota,Tacoma,N/A,61028,23832,Used,Dealership,45836,19425
188,1997,Subaru,WRX,N/A,81407,12632,Used,Dealership,19478,11493
189,2016,Volvo,S70,base,20224,10963,Used,Individual Seller,10377,32940
190,2005,GMC,Envoy,N/A,77024,7356,Used,Individual Seller,91928,21910
191,2004,BMW,X5,N/A,94069,16054,Used,Individual Seller,14537,9463
192,1997,Jeep,Wrangler,N/A,28541,14661,Used,Individual Seller,54452,15844
193,2022,Volvo,XC90,base,33,20568,New,Dealership,15042,21742
194,1998,Ford,Escape,N/A,148931,12652,Used,Individual Seller,60872,12190
195,2007,BMW,X5,base,74649,9941,Used,Individual Seller,63612,18341
196,2013,Volvo,XC90,sport,71396,14951,Used,Individual Seller,29418,21020
197,2006,Acura,TL,luxury,95763,11931,Used,Dealership,76507,29858
198,2007,Chrysler,Town & Country,base,87575,6497,Used,Dealership,25611,6781
199,2015,Chrysler,Town & Country,base,107737,16793,Used,Individual Seller,86465,19538
200,2019,Honda,Accord,sport,6860,26525,Certified,Dealership,53889,23255
201,2012,Mercedes,E-Class,base,101446,7313,Used,Dealership,68140,9675
202,2021,Chevrolet,Impala,base,12386,24457,Certified,Dealership,67811,
203,1996,Volkswagen,Passat,N/A,135609,5953,Used,Individual Seller,53290,5178
204,2011,Audi,A6,base,94355,15082,Used,Individual Seller,90109,6612
205,2011,Chevrolet,Equinox,base,64907,24178,Used,Individual Seller,40529,16015
206,2010,Volkswagen,Tiguan,sport,116913,12921,Used,Individual Seller,29079,11464
207,1999,Mercedes,S-Class,N/A,41960,13457,Used,Individual Seller,70697,12146
208,2020,Nissan,Altima,base,31443,18187,Certified,Dealership,77574,16421
209,2004,BMW,X5,N/A,69012,29498,Used,Dealership,97000,9463
210,2022,Lincoln,Navigator,sport,51,27873,New,Dealership,69142,40465
211,2000,Acura,TL,N/A,12896,23863,Used,Individual Seller,96830,8466
212,1999,Honda,CR-V,N/A,12081,37446,Used,Dealership,41258,8846
213,1998,BMW,3 Series,N/A,138588,10143,Used,Dealership,66692,14545
214,2019,Audi,A4,base,29706,24110,Certified,Dealership,36552,11385
215,2011,Buick,Regal,base,11305,24971,Used,Dealership,22709,19745
